Source,Target,Type,Id,Label,Weight
visitorfi5kl7q7i,chws5ibwliag4fyc,Directed,1688,,1
visitorfi5kl7q7i,deneppj6r5y6ybeo,Directed,1673,,1
visitorfi5kl7q7i,zqktlwi4fecvo6ri,Directed,1667,,1
visitorfi5kl7q7i,l5fdshtms2yn7hsp,Directed,1665,,1
visitorfi5kl7q7i,2ttafocrkv7gx3op,Directed,1657,,1
visitorfi5kl7q7i,ykrxnmvcmozu5maa,Directed,1654,,1
visitorfi5kl7q7i,toristinkirir4xj,Directed,1650,,1
visitorfi5kl7q7i,k4btcoezc5tlxyaf,Directed,1629,,1
visitorfi5kl7q7i,wikipediak4by6wf,Directed,1602,,1
visitorfi5kl7q7i,y4yhci7273s2yeqk,Directed,1601,,1
visitorfi5kl7q7i,peachg5g547abn5z,Directed,1553,,1
visitorfi5kl7q7i,roothitpesjylrta,Directed,1526,,1
visitorfi5kl7q7i,mixjuia5jwfchmnd,Directed,1506,,1
visitorfi5kl7q7i,dtchp2f74jp64odp,Directed,1497,,1
visitorfi5kl7q7i,chattorci7bcgygp,Directed,1472,,1
visitorfi5kl7q7i,auutwvpt2zktxwng,Directed,1444,,1
visitorfi5kl7q7i,sb77t2k7dqe66npe,Directed,1430,,1
visitorfi5kl7q7i,dirnxxdraygbifgc,Directed,1419,,1
visitorfi5kl7q7i,4hohkxjvlt5fjzqv,Directed,1413,,1
visitorfi5kl7q7i,tuu66yxvrnn3of7l,Directed,1406,,1
visitorfi5kl7q7i,directdal7bourmy,Directed,1399,,1
visitorfi5kl7q7i,rsrzpcnk2nhedf46,Directed,1363,,1
visitorfi5kl7q7i,jcx3r2t55jc2ge5a,Directed,1335,,1
visitorfi5kl7q7i,linksjo6a4kvtzbu,Directed,1334,,1
visitorfi5kl7q7i,auw6fzx756f6gqcd,Directed,1318,,1
visitorfi5kl7q7i,6onu2qrrdqo4cubp,Directed,1291,,1
visitorfi5kl7q7i,7ep7acrkunzdcw3l,Directed,1283,,1
visitorfi5kl7q7i,n6pbizsbykwxmydz,Directed,1249,,1
visitorfi5kl7q7i,dc5gee72qyaayr4d,Directed,1244,,1
visitorfi5kl7q7i,uoaz2bavpyplrswx,Directed,1241,,1
visitorfi5kl7q7i,kbvbh4kdddiha2ht,Directed,1229,,1
visitorfi5kl7q7i,nt4f7fzcjoe3f5aj,Directed,1222,,1
visitorfi5kl7q7i,4m6omb3gmrmnwzxi,Directed,1199,,1
visitorfi5kl7q7i,3dbr5t4pygahedms,Directed,1187,,1
visitorfi5kl7q7i,zgrl6sghf5jh37zz,Directed,1174,,1
